id,mcc,mnc,lac,cellid,lat,lon,range_meters,radio,samples,avg_signal,changeable,rnc,cid,tac,pci,area_name,scraped_at,operator,distance_km_to_up8,bearing_deg_from_up8,estimated_bands
153,722,7,2401,31168,-33.012,-60.774,1377,GSM,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Movistar,9.307,15.4,B5 (850); B2 (1900)
155,722,34,491,2621972,-33.016,-60.76,2184,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,9.326,23.9,B5 (850); B1 (2100)
26,722,310,13125,23267775,-33.143,-60.718,5808,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Claro,9.501,126.1,B5 (850); B1 (2100)
134,722,34,491,2626003,-33.016,-60.849,3301,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,9.654,332.1,B5 (850); B1 (2100)
19,722,34,492,8193382,-33.145,-60.717,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,9.708,126.8,B5 (850); B1 (2100)
18,722,310,13125,23297775,-33.149,-60.719,4391,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Claro,9.836,129.5,B5 (850); B1 (2100)
17,722,34,492,8234627,-33.151,-60.719,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,9.979,130.5,B5 (850); B1 (2100)
9,722,7,2431,8178180,-33.165,-60.734,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Movistar,10.146,142.4,B5 (850); B1 (2100)
16,722,310,53106,1187074,-33.157,-60.72,1000,LTE,1,0,True,0,0,53106,,pinero,2025-12-25 23:22:07.417839+00:00,Claro,10.357,133.7,B28 (700); B4 (AWS); B7 (2600)
10,722,310,23125,2054916,-33.162,-60.725,1000,LTE,1,0,True,0,0,23125,,pinero,2025-12-25 23:22:07.417839+00:00,Claro,10.429,137.7,B28 (700); B4 (AWS); B7 (2600)
113,722,34,493,7475656,-33.026,-60.88,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,10.485,315.0,B5 (850); B1 (2100)
112,722,34,493,50594049,-33.026,-60.88,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,10.485,315.0,B5 (850); B1 (2100)
129,722,34,10496,10349313,-33.02,-60.876,1000,LTE,1,0,True,0,0,10496,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,10.719,318.9,B28 (700); B4 (AWS); B7 (2600)
7,722,310,23125,2054913,-33.172,-60.733,2769,LTE,1,0,True,0,0,23125,,pinero,2025-12-25 23:22:07.417839+00:00,Claro,10.827,144.5,B28 (700); B4 (AWS); B7 (2600)
8,722,34,10493,10298373,-33.171,-60.729,1000,LTE,1,0,True,0,0,10493,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,10.958,142.6,B28 (700); B4 (AWS); B7 (2600)
130,722,34,492,2665718,-33.02,-60.881,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,11.031,317.1,B5 (850); B1 (2100)
126,722,34,492,2622486,-33.021,-60.883,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,11.078,316.0,B5 (850); B1 (2100)
128,722,310,3123,33145,-33.02,-60.883,1000,GSM,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Claro,11.159,316.4,B5 (850); B2 (1900)
127,722,34,492,2665705,-33.021,-60.885,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,11.208,315.3,B5 (850); B1 (2100)
132,722,34,492,2665702,-33.019,-60.884,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,11.303,316.5,B5 (850); B1 (2100)
3,722,34,492,8234629,-33.181,-60.739,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,11.365,149.8,B5 (850); B1 (2100)
131,722,34,10492,10349313,-33.019,-60.885,1000,LTE,1,0,True,0,0,10492,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,11.368,316.1,B28 (700); B4 (AWS); B7 (2600)
2,722,34,496,2663905,-33.182,-60.739,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,11.461,150.1,B5 (850); B1 (2100)
133,722,310,13127,23055467,-33.017,-60.884,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Claro,11.466,317.2,B5 (850); B1 (2100)
1,722,34,496,2664063,-33.185,-60.742,1468,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,11.617,152.1,B5 (850); B1 (2100)
5,722,34,496,2663903,-33.167,-60.89,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,11.737,225.2,B5 (850); B1 (2100)
4,722,7,2401,7163,-33.182,-60.727,1371,GSM,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Movistar,12.058,145.5,B5 (850); B2 (1900)
