id,mcc,mnc,lac,cellid,lat,lon,range_meters,radio,samples,avg_signal,changeable,rnc,cid,tac,pci,area_name,scraped_at,operator,distance_km_to_up9,bearing_deg_from_up9,estimated_bands
238,722,310,13204,24462293,-31.57,-60.727,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,6.696,183.4,B5 (850); B1 (2100)
312,722,310,13204,24447634,-31.561,-60.685,4715,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,6.719,147.8,B5 (850); B1 (2100)
507,722,7,2731,8379135,-31.451,-60.739,4391,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Movistar,6.725,346.8,B5 (850); B1 (2100)
311,722,310,13201,20121909,-31.563,-60.688,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,6.765,150.8,B5 (850); B1 (2100)
175,722,34,10770,17994252,-31.566,-60.751,3592,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,6.788,203.2,B28 (700); B4 (AWS); B7 (2600)
259,722,34,794,6888557,-31.564,-60.756,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,6.79,207.6,B5 (850); B1 (2100)
500,722,310,3223,43842,-31.466,-60.773,2996,GSM,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,6.817,315.7,B5 (850); B2 (1900)
511,722,34,707,40192,-31.45,-60.706,1000,GSM,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,6.847,13.5,B5 (850); B2 (1900)
245,722,34,702,50103,-31.57,-60.706,1000,GSM,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,6.872,166.6,B5 (850); B2 (1900)
189,722,34,770,7733895,-31.571,-60.734,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,6.878,188.9,B5 (850); B1 (2100)
191,722,7,2731,8331745,-31.57,-60.74,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Movistar,6.88,193.7,B5 (850); B1 (2100)
190,722,7,2731,8331773,-31.57,-60.74,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Movistar,6.88,193.7,B5 (850); B1 (2100)
505,722,310,13204,24502385,-31.452,-60.749,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,6.899,338.9,B5 (850); B1 (2100)
